year,max_rate
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,2
1917,7
1918,12
1919,10
1920,10
1921,10
1922,12.5
1923,12.5
1924,12.5
1925,13
1926,13.5
1927,13.5
1928,12
1929,11
1930,12
1931,12
1932,13.75
1933,13.75
1934,13.75
1935,13.75
1936,15
1937,15
1938,19
1939,19
1940,24
1941,31
1942,40
1943,40
1944,40
1945,40
1946,38
1947,38
1948,38
1949,38
1950,42
1951,51
1952,52
1953,52
1954,52
1955,52
1956,52
1957,52
1958,52
1959,52
1960,52
1961,52
1962,52
1963,52
1964,50
1965,48
1966,48
1967,48
1968,52.8
1969,52.8
1970,49.2
1971,48
1972,48
1973,48
1974,48
1975,48
1976,48
1977,48
1978,48
1979,46
1980,46
1981,46
1982,46
1983,46
1984,46
1985,46
1986,46
1987,40
1988,34
1989,34
1990,34
1991,34
1992,34
1993,35
1994,35
1995,35
1996,35
1997,35
1998,35
1999,35
2000,35
2001,35
2002,35
2003,35
2004,35
2005,35
2006,35
2007,35
2008,35
2009,35
2010,35
2011,35
2012,35
2013,35
2014,35
2015,35
2016,35
2017,35
2018,21
2019,21
2020,21
