year,name,alignment
1908,William Howard Taft,Republican
1912,Woodrow Wilson,Democratic
1916,Woodrow Wilson,Democratic
1920,Warren G. Harding,Republican
1924,Calvin Coolidge,Republican
1928,Herbert Hoover,Republican
1932,Franklin D. Roosevelt,Democratic
1936,Franklin D. Roosevelt,Democratic
1940,Franklin D. Roosevelt,Democratic
1944,Harry S. Truman,Democratic
1948,Harry S. Truman,Democratic
1952,Dwight D. Eisenhower,Republican
1956,Dwight D. Eisenhower,Republican
1960,John F. Kennedy,Democratic
1964,Lyndon B. Johnson,Democratic
1968,Richard Nixon,Republican
1972,Richard Nixon,Republican
1976,Jimmy Carter,Democratic
1980,Ronald Reagan,Republican
1984,Ronald Reagan,Republican
1988,George H. W. Bush,Republican
1992,Bill Clinton,Democratic
1996,Bill Clinton,Democratic
2000,George W. Bush,Republican
2004,George W. Bush,Republican
2008,Barack Obama,Democratic
2012,Barack Obama,Democratic
2016,Donald Trump,Republican
